StockCode,Quantity,InvoiceDate
85123A,32,01-02-2022
85123A,12,01-02-2022
84879,24,01-02-2022
84879,-441,01-02-2022
84077,48,01-02-2022
84991,24,01-02-2022
84879,24,01-02-2022
85099B,2,01-02-2022
85123A,3,01-02-2022
22197,4,01-02-2022
84077,48,01-02-2022
84077,48,01-02-2022
85099B,10,01-02-2022
85123A,6,01-02-2022
21212,24,01-02-2022
85123A,6,01-02-2022
84879,4,01-02-2022
85123A,10,01-02-2022
85099B,100,01-02-2022
85123A,10,01-02-2022
85123A,13,01-02-2022
85123A,12,01-02-2022
22197,24,01-02-2022
85099B,1,01-02-2022
85123A,1,01-02-2022
21977,1,01-02-2022
22197,1,01-02-2022
84879,8,01-02-2022
21212,2,01-02-2022
21212,2,01-02-2022
21212,2,01-02-2022
21977,2,01-02-2022
84991,1,01-02-2022
85123A,1,01-02-2022
21212,3,01-02-2022
85123A,6,01-02-2023
85099B,10,01-02-2023
84879,8,01-02-2023
21977,24,01-02-2023
21212,24,01-02-2023
85099B,10,01-02-2023
85123A,32,01-02-2023
21212,24,01-02-2023
21977,48,01-02-2023
21212,48,01-02-2023
85099B,100,01-02-2023
84879,160,01-02-2023
85123A,32,01-02-2023
85099B,10,01-02-2023
85123A,6,01-02-2023
85099B,20,01-02-2023
85123A,-1,01-02-2023
21977,1,01-02-2023
84879,24,01-02-2023
84077,48,01-02-2023
85123A,33,01-02-2023
21977,12,01-02-2023
21212,12,01-02-2023
21977,2,01-02-2023
22197,6,01-02-2023
85099B,6,01-02-2023
21977,4,01-02-2023
21212,4,01-02-2023
84991,4,01-02-2023
21212,2,01-02-2023
85099B,100,01-02-2023
84879,24,01-02-2023
84879,8,01-02-2023
85099B,10,01-02-2023
84879,24,01-02-2023
85099B,10,01-02-2023
21212,24,01-02-2023
85123A,64,01-02-2023
84879,16,01-02-2023
85099B,3,01-02-2023
17003,36,01-02-2023
85123A,3,01-02-2023
85123A,6,01-02-2023
84991,2,01-02-2023
21977,2,01-02-2023
84879,40,01-02-2023
85123A,1,01-02-2023
21212,10,01-02-2023
84991,10,01-02-2023
85099B,3,01-02-2023
21977,10,01-02-2023
85123A,12,01-02-2023
85099B,-1,01-02-2023
85123A,-1,01-02-2023
22197,-2,01-02-2023
85099B,8,01-02-2023
85099B,100,01-02-2023
85123A,6,01-03-2022
85099B,10,01-03-2022
85099B,10,01-03-2022
84077,288,01-03-2022
84991,240,01-03-2022
21212,120,01-03-2022
21977,120,01-03-2022
85123A,100,01-03-2022
84879,16,01-03-2022
21212,24,01-03-2022
21977,24,01-03-2022
85099B,10,01-03-2022
84077,48,01-03-2022
84879,32,01-03-2022
85123A,12,01-03-2022
21977,240,01-03-2022
21212,240,01-03-2022
21212,1,01-03-2022
22197,4,01-03-2022
84991,1,01-03-2022
85099B,10,01-03-2022
85099B,10,01-03-2022
85099B,10,01-03-2023
85123A,6,01-03-2023
21212,24,01-03-2023
85123A,12,01-03-2023
85123A,12,01-03-2023
21212,24,01-03-2023
21212,24,01-03-2023
85099B,60,01-03-2023
85099B,100,01-03-2023
22197,11,01-03-2023
21212,48,01-03-2023
85123A,3,01-03-2023
85123A,12,01-03-2023
84879,8,01-03-2023
85123A,32,01-03-2023
22197,2,01-03-2023
85099B,3,01-03-2023
22197,2,01-03-2023
85099B,3,01-03-2023
84077,96,01-03-2023
17003,108,01-03-2023
85099B,10,01-03-2023
84879,16,01-03-2023
85099B,100,01-03-2023
85123A,5,01-03-2023
85099B,2,01-03-2023
85123A,2,01-03-2023
22197,2,01-03-2023
85123A,2,01-03-2023
84879,16,01-04-2022
85099B,10,01-04-2022
85123A,8,01-04-2022
22197,12,01-04-2022
85099B,30,01-04-2022
85123A,32,01-04-2022
85123A,2,01-04-2022
84879,8,01-04-2022
85123A,4,01-04-2022
84077,48,01-04-2022
85123A,32,01-04-2022
21212,2,01-04-2022
84991,4,01-04-2022
84991,24,01-04-2022
85099B,10,01-04-2022
85123A,12,01-04-2022
85099B,6,01-04-2022
85123A,32,01-04-2022
22197,8,01-04-2022
85099B,10,01-04-2022
21212,48,01-04-2022
85099B,200,01-04-2022
85099B,2,01-04-2022
21977,1,01-04-2022
84077,48,01-04-2022
84991,10,01-04-2022
21212,6,01-04-2022
85123A,7,01-04-2022
84991,5,01-04-2022
85123A,2,01-04-2022
21212,2,01-04-2022
85123A,8,01-04-2022
84879,8,01-04-2022
84879,9,01-04-2022
84991,24,01-04-2022
85123A,12,01-04-2022
84077,48,01-04-2022
21212,24,01-04-2022
85123A,32,01-04-2022
85123A,5,01-04-2022
21212,24,01-04-2022
85123A,6,01-04-2022
85099B,100,01-04-2022
85123A,6,01-04-2023
84879,16,01-04-2023
85123A,12,01-04-2023
85123A,32,01-04-2023
85123A,6,01-04-2023
85099B,10,01-04-2023
22492,36,01-04-2023
85123A,1,01-04-2023
21212,1,01-04-2023
84879,1,01-04-2023
21212,5,01-04-2023
84879,8,01-04-2023
85099B,6,01-04-2023
84991,120,01-04-2023
22197,24,01-04-2023
85123A,6,01-04-2023
84077,1152,01-04-2023
85123A,6,01-04-2023
84077,1152,01-04-2023
85123A,12,01-04-2023
84879,6,01-04-2023
21212,24,01-04-2023
84991,24,01-04-2023
85123A,12,01-04-2023
84879,24,01-04-2023
85123A,8,01-04-2023
21977,48,01-04-2023
22197,12,01-04-2023
84879,24,01-04-2023
84879,6,01-04-2023
84991,1,01-04-2023
84991,1,01-04-2023
84879,32,01-04-2023
85123A,32,01-04-2023
22197,100,01-04-2023
84879,1,01-05-2023
85123A,2,01-05-2023
85123A,10,01-05-2023
22197,200,01-05-2023
85099B,45,01-05-2023
21212,24,01-05-2023
84991,24,01-05-2023
22492,36,01-05-2023
85099B,50,01-05-2023
84879,8,01-06-2022
21212,4,01-06-2022
21212,2,01-06-2022
22492,36,01-06-2022
84879,8,01-06-2022
22197,3,01-06-2022
22492,36,01-06-2022
85099B,10,01-06-2022
22197,24,01-06-2022
84879,24,01-06-2022
85099B,10,01-06-2022
21212,24,01-06-2022
21977,24,01-06-2022
21212,1,01-06-2022
22492,2,01-06-2022
84991,1,01-06-2022
85099B,6,01-06-2022
85123A,1,01-06-2022
85123A,8,01-06-2022
22492,36,01-06-2022
85123A,8,01-06-2022
84879,16,01-06-2022
85123A,12,01-06-2022
84879,8,01-06-2022
84879,1,01-06-2022
84879,32,01-06-2022
22492,36,01-06-2023
84879,8,01-06-2023
84879,16,01-06-2023
84077,48,01-06-2023
85123A,6,01-06-2023
22197,2,01-06-2023
85123A,1,01-06-2023
21212,24,01-06-2023
17003,36,01-06-2023
85099B,2,01-06-2023
85099B,4,01-06-2023
85123A,6,01-06-2023
85099B,10,01-06-2023
21977,4,01-06-2023
22197,4,01-06-2023
84879,24,01-06-2023
85123A,6,01-06-2023
85123A,3,01-06-2023
17003,216,01-06-2023
85123A,2,01-06-2023
17003,72,01-06-2023
21977,2,01-06-2023
85099B,3,01-06-2023
85123A,2,01-06-2023
84879,16,01-06-2023
21212,1,01-06-2023
21977,1,01-06-2023
84077,2,01-06-2023
84991,2,01-06-2023
85099B,2,01-06-2023
85123A,1,01-06-2023
85123A,2,01-06-2023
85099B,100,01-07-2022
21212,24,01-07-2022
85099B,10,01-07-2022
21977,1,01-07-2022
84991,1,01-07-2022
84991,24,01-07-2022
85099B,-10,01-07-2022
85099B,10,01-07-2022
22492,36,01-07-2022
85123A,18,01-07-2022
85123A,96,01-07-2022
85123A,6,01-07-2022
84879,16,01-07-2022
84991,2,01-07-2022
21212,24,01-07-2022
21977,24,01-07-2022
21212,2,01-07-2022
85123A,12,01-07-2022
84991,24,01-07-2022
21212,24,01-07-2022
85123A,32,01-07-2022
85123A,2,01-07-2022
85099B,10,01-07-2022
84879,64,01-07-2022
21212,24,01-07-2022
22492,36,01-07-2022
85123A,32,01-07-2022
21212,24,01-07-2022
85099B,30,01-07-2022
84991,2,01-07-2022
21212,1,01-07-2022
21977,1,01-07-2022
21212,6,01-07-2022
21977,6,01-07-2022
84991,3,01-07-2022
21212,3,01-07-2022
85123A,6,01-07-2022
84077,48,01-07-2022
84991,24,01-07-2022
21977,24,01-07-2022
21212,24,01-07-2022
84879,16,01-07-2022
85123A,2,01-07-2022
21977,2,01-07-2022
85123A,7,01-07-2022
85099B,10,01-07-2022
85123A,64,01-07-2022
85123A,6,01-07-2022
21977,24,01-07-2022
84991,24,01-07-2022
22197,6,01-07-2022
85123A,6,01-07-2022
84077,48,01-07-2022
84991,24,01-07-2022
85123A,6,01-07-2022
84879,32,01-07-2022
21212,24,01-07-2022
21977,24,01-07-2022
84991,24,01-07-2022
84077,48,01-07-2022
85099B,10,01-07-2023
85099B,20,01-07-2023
85123A,18,01-07-2023
85099B,4,01-07-2023
85099B,2,01-07-2023
85099B,1,01-07-2023
85099B,10,01-07-2023
22197,4,01-07-2023
22197,10,01-07-2023
84879,16,01-07-2023
22197,12,01-07-2023
85123A,1,01-07-2023
85123A,6,01-07-2023
17003,36,01-07-2023
22492,36,01-07-2023
85123A,6,01-07-2023
17003,-1,01-07-2023
21212,24,01-07-2023
85099B,10,01-07-2023
85123A,8,01-07-2023
85123A,4,01-08-2022
21212,12,01-08-2022
85099B,10,01-08-2022
85099B,10,01-08-2022
21212,12,01-08-2022
85123A,6,01-08-2022
84879,16,01-08-2022
85099B,2,01-08-2022
22197,1,01-08-2022
85099B,20,01-08-2022
21212,24,01-08-2022
85123A,8,01-08-2022
84879,5,01-08-2022
85123A,10,01-08-2022
84879,8,01-08-2022
21212,6,01-08-2022
22197,3,01-08-2022
85123A,-2,01-08-2022
